"countries","iso3","year","tax_to_gdp"
"Iceland","ISL",2007,35.6
"Iceland","ISL",1997,29.5
"Iceland","ISL",2014,33.6
"Iceland","ISL",2009,28.5
"Iceland","ISL",2012,30.4
"Iceland","ISL",2019,31.7
"Iceland","ISL",2004,33.3
"Iceland","ISL",1999,33.9
"Iceland","ISL",2008,31.6
"Iceland","ISL",2000,33.5
"Iceland","ISL",2006,36.5
"Iceland","ISL",2013,30.8
"Iceland","ISL",1996,29.7
"Iceland","ISL",2018,33
"Iceland","ISL",2003,32.2
"Iceland","ISL",2016,46.9
"Iceland","ISL",2001,31.2
"Iceland","ISL",2005,36.2
"Iceland","ISL",1995,28.9
"Iceland","ISL",2015,31.7
"Iceland","ISL",2002,30.9
"Iceland","ISL",2017,33.7
"Indonesia","IDN",2018,11.6
"Indonesia","IDN",2019,11.1
"Indonesia","IDN",2010,11.4
"Indonesia","IDN",2015,12
"Indonesia","IDN",2016,11.6
"Indonesia","IDN",2009,11.1
"Indonesia","IDN",2017,11.2
"Indonesia","IDN",2012,12.5
"Indonesia","IDN",2011,12.2
"Indonesia","IDN",2008,13
"Indonesia","IDN",2014,12.1
"Indonesia","IDN",2013,12.5
"Iran, Islamic Rep. of","IRN",2001,7.7
"Iran, Islamic Rep. of","IRN",2002,6.8
"Iran, Islamic Rep. of","IRN",2003,7.2
"Iran, Islamic Rep. of","IRN",2004,7.2
"Iran, Islamic Rep. of","IRN",2005,8.7
"Iran, Islamic Rep. of","IRN",2008,8.6
"Iran, Islamic Rep. of","IRN",2009,10
"Iran, Islamic Rep. of","IRN",2006,8.2
"Iran, Islamic Rep. of","IRN",2007,8.1
"Ireland","IRL",2009,22.8
